10,91.5,97.5,98,99
20,86.75,95,97.5,95.75
30,86.33333333,94.83333333,96.16666667,96
40,87,94.625,97.125,91.5
50,85.3,93.8,95.9,91.1
60,81.91666667,91.58333333,94.58333333,89.75
70,82.07142857,91.42857143,93.57142857,89.5
80,79.375,88.375,91.6875,89.6875
90,80.22222222,89.16666667,92,90.61111111
100,80.75,89.65,91.55,89.95
200,78.4,89.075,91.475,88.5
300,77.91666667,86.8,89.9,87.68333333
400,79.3625,87.1875,90.2875,87.025
500,79.75,87.76,90.85,87.73
600,79.26666667,87.25833333,90.10833333,86.83333333
700,78.87857143,87.63571429,90,86.9
800,79.38125,87.18125,90.1875,87.25
900,79.06111111,87.18333333,90.53888889,87.13888889
1000,78.87,87.145,90.34,86.655
2000,79.11,87.43,90.01,86.905
3000,79.12666667,87.385,90.26166667,87.16833333
4000,78.8325,87.07375,89.8375,86.77375
5000,78.964,87.075,89.851,87.017
6000,78.795,87.07,89.935,86.775
7000,78.67071429,87.07428571,89.74642857,86.77428571
8000,78.65125,86.923125,89.679375,86.591875
9000,78.78,86.90333333,89.66611111,86.69333333
10000,78.997,87.213,90.0075,86.8835
20000,78.6695,87.004,89.69325,86.72275
30000,78.70416667,87.04233333,89.79516667,86.63766667
40000,78.800625,87.219375,89.885875,86.778875
50000,78.8029,87.0994,89.8371,86.7291
