348,348,1048.99,3.86,357,357,651.41,2.47,366,366,551.57,1.52,395,395,707.53,1.89
368,368,1048.86,3.82,380,380,741.79,2.34,399,399,531.98,1.41,421,421,737.85,1.95
399,399,1070.33,3.53,418,418,658.56,1.66,422,422,486.52,1.14,423,423,727.10,2.28
381,381,1126.36,4.24,390,390,663.33,2.15,405,405,526.84,1.31,414,414,811.99,2.63
364,364,1103.61,3.58,370,370,638.70,2.01,384,384,492.60,1.31,382,382,656.65,1.92
380,380,1102.50,3.85,402,402,697.87,2.17,408,408,500.28,1.26,417,417,687.68,2.10
364,364,1028.72,3.99,406,406,670.23,1.84,403,403,545.70,1.51,417,417,708.00,2.23
378,378,1028.72,3.94,405,405,780.47,2.56,415,415,598.76,1.65,431,431,712.62,1.94
401,401,1140.32,4.12,416,416,704.94,2.23,421,421,505.12,1.22,427,427,715.39,2.07
394,394,1061.63,3.49,422,422,732.44,1.75,418,418,593.18,1.43,426,426,855.34,2.67
339,339,1083.31,4.70,404,404,774.01,2.24,412,412,569.02,1.44,432,432,712.59,2.14
405,405,1155.45,3.75,408,408,788.73,2.37,434,434,678.93,1.71,440,440,875.95,2.71
374,374,1190.64,4.65,384,384,734.63,2.34,387,387,549.05,1.42,416,416,824.16,2.26
370,370,1109.97,4.05,369,369,702.46,2.53,377,377,522.55,1.59,405,405,628.40,1.68
389,389,1124.64,3.63,400,400,774.10,2.47,418,418,574.49,1.74,421,421,640.13,1.73
349,349,992.32,3.55,388,388,723.77,2.45,399,399,575.70,1.59,432,432,893.76,2.73
358,358,1217.94,5.08,388,388,857.08,2.75,417,417,721.03,2.43,441,441,1103.92,3.41
400,400,1170.47,3.82,414,414,785.24,2.13,435,435,634.09,1.50,452,452,852.28,1.88
345,345,994.83,4.21,366,366,738.48,2.97,370,370,541.01,1.58,400,400,731.16,2.40
355,355,1095.23,3.89,390,390,752.93,2.16,388,388,572.80,1.48,389,389,780.62,2.63
355,355,1052.13,3.52,360,360,722.22,2.29,381,381,612.92,1.99,395,395,775.66,2.43
384,384,1097.25,3.53,408,408,785.77,2.63,426,426,610.92,1.43,433,433,731.52,2.15
411,411,1201.01,3.81,426,426,818.93,2.34,431,431,600.91,1.50,439,439,753.94,2.14
373,373,1142.31,4.21,410,410,751.49,1.88,413,413,571.56,1.31,422,422,762.16,2.02
362,362,1139.60,4.52,392,392,783.32,2.53,406,406,616.27,1.60,437,437,761.93,1.83
385,385,1053.68,3.35,398,398,707.73,1.88,397,397,516.68,1.27,416,416,709.19,1.81
413,413,1154.26,3.57,404,404,756.18,2.43,416,416,547.66,1.36,432,432,784.95,1.99
416,416,1241.56,3.86,421,421,832.71,2.36,430,430,671.09,1.98,450,450,876.89,2.24
361,361,955.48,3.35,365,365,659.31,2.20,381,381,558.56,1.69,420,420,716.72,2.02
362,362,1109.37,4.35,388,388,752.83,2.93,403,403,574.44,1.38,423,423,894.30,2.60
362,362,1166.55,4.29,390,390,715.54,1.93,412,412,591.75,1.62,413,413,782.55,2.19
376,376,1119.14,4.33,369,369,718.89,2.40,378,378,510.77,1.42,413,413,821.34,2.17
410,410,1181.89,3.45,401,401,808.06,2.23,412,412,634.70,1.66,418,418,752.32,2.21
395,395,1172.53,3.96,394,394,740.09,2.00,406,406,594.44,2.00,401,401,693.16,2.05
371,371,1014.07,3.02,362,362,613.78,1.89,368,368,502.56,1.55,372,372,558.09,1.54
350,350,927.77,3.82,354,354,631.65,1.97,367,367,460.10,1.18,383,383,618.95,1.76
383,383,1118.34,3.75,376,376,773.38,2.72,370,370,523.47,1.80,380,380,628.79,1.69
365,365,1234.10,4.88,388,388,851.97,2.68,414,414,665.08,1.61,443,443,890.55,2.12
378,378,1038.99,3.60,407,407,751.92,2.27,402,402,545.28,1.64,431,431,663.42,1.82
395,395,1212.59,3.75,399,399,756.69,2.59,419,419,582.99,1.61,424,424,694.90,2.28
409,409,1246.50,3.69,416,416,829.01,2.50,438,438,632.12,1.58,435,435,729.14,1.81
351,351,1052.57,3.61,397,397,857.76,2.65,403,403,593.90,1.76,421,421,803.65,2.47
366,366,1100.91,4.78,391,391,737.34,2.28,413,413,640.39,1.55,412,412,711.77,1.95
386,386,1065.78,4.08,382,382,692.23,2.04,416,416,552.86,1.47,429,429,780.49,2.03
374,374,1121.45,3.72,411,411,849.11,2.54,432,432,672.66,1.59,438,438,901.38,2.69
372,372,1122.96,4.03,396,396,761.27,2.19,420,420,620.49,1.64,433,433,769.51,2.14
373,373,1158.05,3.75,386,386,745.14,2.51,415,415,578.77,1.50,403,403,750.37,1.91
374,374,1060.78,3.57,397,397,631.88,1.62,407,407,496.69,1.17,391,391,669.37,1.93
400,400,1101.87,3.55,417,417,706.15,2.15,415,415,551.66,1.25,431,431,804.15,2.33
367,367,1106.69,3.85,377,377,725.89,2.97,378,378,517.38,1.29,388,388,806.08,2.47
